,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
11082,Ohio,39,1110292,20281,32.0,Republicans,False,True,Republicans,False,True
11083,Oklahoma,40,456910,7384,46.5,Republicans,False,True,Republicans,False,True
11084,South Carolina,45,596144,9819,42.0,Republicans,False,True,Republicans,False,True
11085,Utah,49,413387,2351,30.3,Republicans,False,True,Republicans,False,True
11086,Vermont,50,24392,256,16.7,Democrats,True,False,Democrats,True,False
11087,West Virginia,54,163804,2876,46.1,Republicans,False,True,Republicans,False,True
11088,Wisconsin,55,677464,8099,29.7,Republicans,False,True,Republicans,False,True
11089,Alaska,2,70485,357,26.2,Republicans,False,True,Republicans,False,True
11090,Arizona,4,892711,17914,33.0,Republicans,False,True,Republicans,False,True
11091,California,6,3815178,63555,22.9,Democrats,True,False,Democrats,True,False
11092,Connecticut,9,349120,8275,18.9,Democrats,True,False,Democrats,True,False
11093,District of Columbia,11,49305,1141,18.5,Democrats,True,False,Democrats,True,False
11094,Indiana,18,756046,13822,35.9,Republicans,False,True,Republicans,False,True
11095,Iowa,19,373529,6131,34.2,Republicans,False,True,Republicans,False,True
11096,Kansas,20,318833,5182,32.4,Republicans,False,True,Republicans,False,True
11097,Kentucky,21,465205,7252,43.4,Republicans,False,True,Republicans,False,True
11098,Maryland,24,462295,9734,28.0,Democrats,True,False,Democrats,True,False
