,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
10793,Connecticut,9,348350,8261,18.9,Democrats,True,False,Democrats,True,False
10794,District of Columbia,11,49158,1137,18.5,Democrats,True,False,Democrats,True,False
10795,Indiana,18,752437,13745,35.9,Republicans,False,True,Republicans,False,True
10796,Iowa,19,372577,6102,34.2,Republicans,False,True,Republicans,False,True
10797,Kansas,20,317387,5140,32.4,Republicans,False,True,Republicans,False,True
10798,Kentucky,21,463377,7205,43.4,Republicans,False,True,Republicans,False,True
10799,Maryland,24,461485,9686,28.0,Democrats,True,False,Democrats,True,False
10800,Minnesota,27,603853,7605,23.5,Democrats,True,False,Democrats,True,False
10801,Mississippi,28,319115,7353,49.7,Republicans,False,True,Republicans,False,True
10802,Nebraska,31,224144,2517,31.1,Republicans,False,True,Republicans,False,True
10803,New Jersey,34,1019563,26330,22.7,Democrats,True,False,Democrats,True,False
10804,New York,36,2107535,52968,23.1,Democrats,True,False,Democrats,True,False
10805,North Carolina,37,1008494,13287,42.1,Republicans,False,True,Republicans,False,True
10806,Ohio,39,1107047,20091,32.0,Republicans,False,True,Republicans,False,True
10807,Oklahoma,40,454394,7325,46.5,Republicans,False,True,Republicans,False,True
10808,South Carolina,45,594877,9780,42.0,Republicans,False,True,Republicans,False,True
10809,Utah,49,409629,2323,30.3,Republicans,False,True,Republicans,False,True
10810,Vermont,50,24320,256,16.7,Democrats,True,False,Democrats,True,False
10811,West Virginia,54,162939,2849,46.1,Republicans,False,True,Republicans,False,True
10812,Wisconsin,55,676288,8013,29.7,Republicans,False,True,Republicans,False,True
10813,Alaska,2,70132,356,26.2,Republicans,False,True,Republicans,False,True
10814,Arizona,4,887146,17768,33.0,Republicans,False,True,Republicans,False,True
10815,California,6,3803495,63150,22.9,Democrats,True,False,Democrats,True,False
10816,Connecticut,9,348465,8263,18.9,Democrats,True,False,Democrats,True,False
10817,District of Columbia,11,49179,1138,18.5,Democrats,True,False,Democrats,True,False
10818,Indiana,18,752871,13746,35.9,Republicans,False,True,Republicans,False,True
10819,Iowa,19,372649,6102,34.2,Republicans,False,True,Republicans,False,True
10820,Kansas,20,317613,5158,32.4,Republicans,False,True,Republicans,False,True
10821,Kentucky,21,463531,7210,43.4,Republicans,False,True,Republicans,False,True
10822,Maryland,24,461545,9688,28.0,Democrats,True,False,Democrats,True,False
10823,Minnesota,27,603969,7610,23.5,Democrats,True,False,Democrats,True,False
10824,Mississippi,28,319381,7354,49.7,Republicans,False,True,Republicans,False,True
